ID,Cluster,AKT,AKT_pS473,AKT_pT308,YAP,YAP_pS127,YAP-p-YAP,p-AKT,AKTSCORE
TCGA.DK.AA6M.01,Cluster III,-0.14654,-0.23406,-0.080455,0.48989,0.86346,-0.37357,-0.314515,-2.43675
TCGA.DK.AA6Q.01,Cluster III,0.020753,-0.64291,-0.13648,0.053804,-0.47049,0.524294,-0.77939,-3.62746
TCGA.DK.AA6R.01,Cluster III,0.26192,-0.87206,-0.86254,0.2567,0.37367,-0.11697,-1.7346,-1.942765
TCGA.DK.AA6S.01,Cluster III,0.14793,-0.95938,-0.51675,0.64819,1.1983,-0.55011,-1.47613,-1.655602
TCGA.DK.AA74.01,Cluster III,0.43996,-0.80886,-0.57556,0.41179,0.25797,0.15382,-1.38442,-4.84554
TCGA.E5.A2PC.01,Cluster III,0.071122,-1.1624,-0.62204,0.41901,0.98409,-0.56508,-1.78444,-4.04343
TCGA.E7.A3X6.01,Cluster III,0.29167,-1.0966,-1.2796,0.18965,-0.00095424,0.19060424,-2.3762,-3.68339
TCGA.E7.A7DV.01,Cluster III,-0.25519,-1.353,-0.80548,0.15745,0.14791,0.00954,-2.15848,-3.9118
TCGA.E7.A7XN.01,Cluster III,-0.1434,-1.1733,-0.7263,0.13892,0.14075,-0.00183,-1.8996,0.55464
TCGA.E7.A97P.01,Cluster III,0.087887,-1.6127,-0.99998,0.18745,0.028563,0.158887,-2.61268,-0.08313143
TCGA.FD.A3B3.01,Cluster III,0.076566,-0.007813,-0.15784,0.12887,0.45355,-0.32468,-0.165653,-3.31789
TCGA.FD.A3B4.01,Cluster III,-0.1147,-0.43516,-0.055659,0.68386,1.4725,-0.78864,-0.490819,-1.026655
TCGA.FD.A3B5.01,Cluster III,0.1073,-1.003,-1.0188,0.10641,0.22625,-0.11984,-2.0218,0.380706
TCGA.FD.A3B6.01,Cluster III,0.0088661,0.58441,0.36436,0.060548,0.66209,-0.601542,0.94877,-3.0785
TCGA.FD.A3B7.01,Cluster III,0.11239,-1.0676,-0.52843,-0.096642,0.01578,-0.112422,-1.59603,-3.54651
TCGA.FD.A3N5.01,Cluster III,0.13581,-1.0852,-0.91982,0.6387,0.35323,0.28547,-2.00502,-2.40961
TCGA.FD.A3N6.01,Cluster III,-0.8375,-1.0742,-0.84255,0.62538,-0.27895,0.90433,-1.91675,-3.54449
TCGA.FD.A3NA.01,Cluster III,-0.33803,-0.96582,-0.62286,0.32247,0.72382,-0.40135,-1.58868,-0.285872
TCGA.FD.A3SN.01,Cluster III,-0.31732,0.14131,0.33249,0.44697,0.98196,-0.53499,0.4738,-4.93655
TCGA.FD.A3SO.01,Cluster III,0.22919,-0.97707,-0.82857,0.46046,0.52599,-0.06553,-1.80564,0.688831
TCGA.FD.A3SP.01,Cluster III,-1.9777,-1.1316,-0.14787,0.047295,-1.7856,1.832895,-1.27947,-4.55274
TCGA.FD.A43N.01,Cluster III,-0.31495,-0.69327,-0.34667,0.199,0.34459,-0.14559,-1.03994,-3.79182
TCGA.FD.A43Y.01,Cluster III,0.28862,-0.1282,-0.72396,0.31559,0.60659,-0.291,-0.85216,-2.33155
TCGA.FD.A5BR.01,Cluster III,0.18256,-0.81076,-0.84696,0.48766,0.30864,0.17902,-1.65772,-3.70678
TCGA.FD.A5BT.01,Cluster III,0.091145,-0.39877,-0.54775,0.63696,1.6811,-1.04414,-0.94652,-5.5571
TCGA.FD.A5C1.01,Cluster III,0.38824,-0.43767,1.3173,1.0931,1.0519,0.0412,0.87963,-4.039728
TCGA.FD.A62N.01,Cluster III,-0.081023,-0.099678,0.077186,0.12193,-0.019024,0.140954,-0.022492,-0.340327
TCGA.FD.A62O.01,Cluster III,-0.018333,-1.3316,-1.1649,0.3303,0.19613,0.13417,-2.4965,-0.946444
TCGA.FD.A62S.01,Cluster III,0.44001,0.26281,0.28251,0.2907,0.39651,-0.10581,0.54532,-7.69766
TCGA.FD.A6TD.01,Cluster III,0.017014,-0.51427,-0.44336,0.24784,0.63341,-0.38557,-0.95763,-2.117011
TCGA.FD.A6TK.01,Cluster III,0.053463,-0.61171,-0.090708,0.36848,1.08,-0.71152,-0.702418,-2.60307
TCGA.G2.A2EF.01,Cluster III,-1.0945,-0.22144,0.54908,1.1467,1.4163,-0.2696,0.32764,-4.68707
TCGA.G2.A2EJ.01,Cluster III,-0.11599,0.43053,0.31173,0.23506,0.29809,-0.06303,0.74226,2.12354
TCGA.G2.A2EO.01,Cluster III,0.23437,-1.187,-0.72175,-0.0003509,-0.31288,0.3125291,-1.90875,2.623838
TCGA.G2.A2ES.01,Cluster III,0.017133,-1.1277,-1.0206,0.04837,-0.54989,0.59826,-2.1483,-1.372134
TCGA.G2.A3IB.01,Cluster III,-0.87026,-0.27962,-0.42448,0.093077,0.33701,-0.243933,-0.7041,-0.114396
TCGA.GC.A3I6.01,Cluster III,0.14067,-0.66159,-1.0061,0.21293,0.4345,-0.22157,-1.66769,-1.498648
TCGA.GC.A3WC.01,Cluster III,-0.057778,-0.53917,-0.94542,0.19197,-0.40749,0.59946,-1.48459,-2.891433
TCGA.GC.A3YS.01,Cluster III,0.34334,-1.2673,-1.2608,1.1455,0.55627,0.58923,-2.5281,1.43602
TCGA.GD.A3OQ.01,Cluster III,-0.49308,0.76199,0.25538,-0.077132,0.096444,-0.173576,1.01737,-7.80853
TCGA.GU.A762.01,Cluster III,0.117,-0.898,-0.94975,0.14175,-0.18655,0.3283,-1.84775,-2.992709
TCGA.GU.A764.01,Cluster III,0.44486,-0.31936,-0.54124,0.20564,-0.22194,0.42758,-0.8606,-6.59578
TCGA.GU.A766.01,Cluster III,-0.55692,-0.74933,-0.7111,0.37334,0.96373,-0.59039,-1.46043,-3.76416
TCGA.GU.AATQ.01,Cluster III,0.26867,-0.31976,-0.6168,-0.12349,0.33657,-0.46006,-0.93656,-3.18763
TCGA.GV.A40E.01,Cluster III,-0.75553,0.27916,-0.024846,2.2009,2.5064,-0.3055,0.254314,0.65141
TCGA.HQ.A5ND.01,Cluster III,0.094713,1.0139,0.62939,0.45371,1.3393,-0.88559,1.64329,-3.44864
TCGA.HQ.A5NE.01,Cluster III,0.15072,-1.0464,-0.88564,0.15944,-0.54399,0.70343,-1.93204,-1.5412
TCGA.K4.A4AB.01,Cluster III,0.61774,0.91108,0.16147,0.7008,1.6344,-0.9336,1.07255,-4.310156
TCGA.K4.A4AC.01,Cluster III,-0.12101,-1.4152,-0.91094,0.59337,0.59415,-0.00078,-2.32614,-3.72476
TCGA.K4.A54R.01,Cluster III,0.16582,-1.2409,-0.67882,0.5114,0.080393,0.431007,-1.91972,1.1492346
TCGA.K4.A5RH.01,Cluster III,0.42777,-1.5525,-1.2084,-0.45851,-1.0663,0.60779,-2.7609,-5.32348
TCGA.K4.A5RI.01,Cluster III,0.32804,-0.72911,-0.85995,0.088572,-0.23866,0.327232,-1.58906,-5.36172
TCGA.K4.A6FZ.01,Cluster III,-0.16141,-1.4744,-1.12,0.37188,-0.49605,0.86793,-2.5944,-2.91622
TCGA.LC.A66R.01,Cluster III,-0.40059,-1.2406,-0.63848,0.25933,-0.33546,0.59479,-1.87908,1.80404
TCGA.PQ.A6FI.01,Cluster III,-0.29954,-0.39146,-0.82728,0.838,1.6174,-0.7794,-1.21874,0.271238
TCGA.UY.A78L.01,Cluster III,-0.19685,0.49967,0.65939,0.21183,0.50977,-0.29794,1.15906,-4.03523
TCGA.UY.A78M.01,Cluster III,-0.10538,-0.6671,-0.88399,0.055515,-0.22607,0.281585,-1.55109,-5.46336
TCGA.UY.A8OB.01,Cluster III,-0.44182,-1.5937,-1.2195,0.017097,-0.89316,0.910257,-2.8132,-8.06026
TCGA.UY.A8OC.01,Cluster III,-0.011345,-1.7955,-1.2556,0.72213,0.11575,0.60638,-3.0511,-6.53699
TCGA.UY.A9PD.01,Cluster III,-0.34123,-1.1157,-1.1716,0.090623,-0.19353,0.284153,-2.2873,-7.52172
TCGA.XF.A8HE.01,Cluster III,-2.1063,-0.69583,0.19153,0.22215,-0.048369,0.270519,-0.5043,-0.82038
TCGA.XF.A8HF.01,Cluster III,0.25361,0.173,0.051912,0.28341,0.47875,-0.19534,0.224912,-2.33089
TCGA.XF.A9SH.01,Cluster III,-0.076168,0.23473,-0.43392,0.17622,-0.11708,0.2933,-0.19919,-6.61303
TCGA.XF.A9SK.01,Cluster III,0.15026,-0.84801,0.26381,0.33321,-0.14063,0.47384,-0.5842,-0.1114832
TCGA.XF.A9SM.01,Cluster III,0.30706,-0.5247,-0.68214,-0.032469,-0.97611,0.943641,-1.20684,0.6469141
TCGA.XF.A9SY.01,Cluster III,-1.2604,-1.8298,-0.72047,0.27694,-1.0182,1.29514,-2.55027,-3.06899
TCGA.XF.A9T0.01,Cluster III,-0.29034,-1.2442,-0.36248,0.40631,-0.30323,0.70954,-1.60668,-0.088095
TCGA.XF.A9T4.01,Cluster III,0.18032,0.043801,-0.34975,0.15896,0.1459,0.01306,-0.305949,-4.54925
TCGA.XF.A9T6.01,Cluster III,-0.075469,-0.2812,0.4597,1.2489,2.2527,-1.0038,0.1785,0.711168
TCGA.XF.A9T8.01,Cluster III,-2.1082,0.0043665,0.91638,-0.087573,-0.38104,0.293467,0.9207465,-0.02948
TCGA.XF.AAMT.01,Cluster III,-0.064494,0.13452,0.46429,0.60925,1.4342,-0.82495,0.59881,-4.96195
TCGA.XF.AAMW.01,Cluster III,0.5323,-0.85685,-0.88924,0.12328,0.14975,-0.02647,-1.74609,-2.800979
TCGA.XF.AAN3.01,Cluster III,0.11258,-0.57946,-0.79746,0.31849,0.021689,0.296801,-1.37692,-2.102069
TCGA.XF.AAN5.01,Cluster III,-0.0021839,-0.87073,-0.5182,0.3896,-0.18841,0.57801,-1.38893,-3.82109
TCGA.YC.A89H.01,Cluster III,-0.14409,0.77328,0.23454,0.47801,0.23905,0.23896,1.00782,-4.00579
TCGA.ZF.A9RD.01,Cluster III,0.12963,-0.96,-0.83588,-0.050318,-0.35981,0.309492,-1.79588,-3.0778
TCGA.ZF.AA4N.01,Cluster III,-0.27382,0.048856,-0.53081,0.8806,0.77314,0.10746,-0.481954,-6.37195
TCGA.ZF.AA4V.01,Cluster III,-0.4271,-1.5992,-1.349,0.26474,0.16717,0.09757,-2.9482,-2.664129
TCGA.ZF.AA4W.01,Cluster III,-2.09,-2.0827,-1.1312,0.54422,-0.090379,0.634599,-3.2139,-5.54162
TCGA.ZF.AA53.01,Cluster III,-0.018574,-1.0988,-0.97144,-0.0034759,-0.75157,0.7480941,-2.07024,0.10164
TCGA.ZF.AA56.01,Cluster III,-0.048236,-0.46761,-0.17611,0.24706,0.30758,-0.06052,-0.64372,-1.702338
TCGA.ZF.AA58.01,Cluster III,-2.5372,-1.6334,-0.49229,0.45786,-0.0052533,0.4631133,-2.12569,-3.92841
TCGA.A2.A1G1.01,Cluster III,-0.54885,-0.5235,-0.59697,0.26137,0.23248,0.02889,-1.12047,2.647268
TCGA.A7.A26F.01,Cluster III,-0.20478,2.2004,1.8455,-0.174,0.65562,-0.82962,4.0459,0.413117
TCGA.A7.A4SE.01,Cluster III,-0.69142,-0.8651,-0.27339,0.24823,-0.62367,0.8719,-1.13849,0.977986
TCGA.AN.A0FJ.01,Cluster III,0.022879,-1.0208,-0.68537,-0.14106,-0.90029,0.75923,-1.70617,3.691112
TCGA.AR.A0U4.01,Cluster III,-1.0231,-1.0043,-1.0153,0.077522,-0.89072,0.968242,-2.0196,4.87219
TCGA.AR.A5QQ.01,Cluster III,-0.41378,1.989,1.6488,0.18382,0.50765,-0.32383,3.6378,-0.900259
TCGA.BH.A0BW.01,Cluster III,1.158,3.4097,3.1158,-0.20986,0.014744,-0.224604,6.5255,-0.559592
TCGA.BH.A0DL.01,Cluster III,0.21053,0.40117,-0.000070364,-0.2261,-0.10019,-0.12591,0.401099636,-5.67399
TCGA.BH.A1FM.01,Cluster III,0.30734,-0.99056,-0.99312,-0.032791,0.31249,-0.345281,-1.98368,1.178383
TCGA.D8.A1J8.01,Cluster III,0.086144,2.9932,2.1162,-0.37193,-0.25257,-0.11936,5.1094,6.01465
TCGA.D8.A1JA.01,Cluster III,-0.0043982,0.57388,0.15269,-0.26022,0.030953,-0.291173,0.72657,0.38643
TCGA.D8.A1JK.01,Cluster III,-0.34506,1.4383,1.285,0.13831,0.44765,-0.30934,2.7233,-0.100984
TCGA.D8.A1XK.01,Cluster III,-2.4376,-1.5139,0.64328,0.46632,-1.0961,1.56242,-0.87062,4.75502
TCGA.E2.A14Y.01,Cluster III,-0.48068,-0.58445,-0.171,0.20574,0.45017,-0.24443,-0.75545,0.21982
TCGA.E2.A1LL.01,Cluster III,-0.26125,1.8518,1.0602,0.018474,1.0294,-1.010926,2.912,-4.453984
TCGA.EW.A1OW.01,Cluster III,0.008316,0.3753,1.4954,-0.10626,0.39094,-0.4972,1.8707,0.077002
TCGA.EW.A1P4.01,Cluster III,-0.83768,-0.040264,-0.50409,-0.018271,0.13843,-0.156701,-0.544354,-4.60442
TCGA.S3.AA10.01,Cluster III,0.10213,-1.0513,-0.98468,-0.50265,-1.1299,0.62725,-2.03598,3.920115
TCGA.4J.AA1J.01,Cluster III,-0.46197,-0.6995,0.21922,0.47174,0.55851,-0.08677,-0.48028,-1.19225172
TCGA.C5.A0TN.01,Cluster III,-0.19597,-0.64303,-0.42469,1.987,3.2121,-1.2251,-1.06772,1.284174
TCGA.C5.A1BJ.01,Cluster III,-1.3679,-0.27581,-0.38654,0.85633,1.2135,-0.35717,-0.66235,2.9979939
TCGA.C5.A1M5.01,Cluster III,-0.23672,0.0042786,0.18396,-0.45495,-0.42624,-0.02871,0.1882386,0.2612
TCGA.C5.A1M7.01,Cluster III,-2.9957,-1.4412,-0.90207,-0.35619,-1.2414,0.88521,-2.34327,-0.4185
TCGA.C5.A1M8.01,Cluster III,-0.21813,-0.5598,-0.91041,-0.41708,-0.069954,-0.347126,-1.47021,-3.582244
TCGA.C5.A1MH.01,Cluster III,-2.5846,-0.51598,-0.36703,0.10279,-0.79508,0.89787,-0.88301,-3.99058
TCGA.C5.A1MN.01,Cluster III,-0.50147,-0.39589,-0.67808,0.08679,0.32661,-0.23982,-1.07397,-0.39544
TCGA.C5.A1MP.01,Cluster III,-0.88268,-0.83209,-1.0607,-0.24829,-0.15574,-0.09255,-1.89279,-2.03944
TCGA.C5.A2LT.01,Cluster III,-0.27937,-1.0086,-0.8891,0.10999,-0.42807,0.53806,-1.8977,0.434459
TCGA.C5.A2LV.01,Cluster III,-0.34112,-1.5539,-0.90934,3.4294,3.9936,-0.5642,-2.46324,-6.34621
TCGA.C5.A2LX.01,Cluster III,-0.48136,-0.80392,-1.173,-0.52227,-1.1092,0.58693,-1.97692,0.6236217
TCGA.C5.A2LZ.01,Cluster III,-0.72415,-1.0007,-1.1239,-0.045401,-0.19114,0.145739,-2.1246,-0.859854
TCGA.C5.A3HL.01,Cluster III,-1.9631,-0.32254,-0.51931,0.43691,0.52066,-0.08375,-0.84185,-3.291426
TCGA.C5.A7CK.01,Cluster III,-0.2373,1.2197,0.76996,-0.010305,0.13835,-0.148655,1.98966,-2.319689
TCGA.C5.A7X3.01,Cluster III,-1.0456,-0.30429,-0.43819,0.26912,0.32047,-0.05135,-0.74248,-5.61371
TCGA.C5.A8XI.01,Cluster III,-0.14895,-0.26451,-0.20456,-0.19729,0.14736,-0.34465,-0.46907,-2.1932999
TCGA.C5.A8XJ.01,Cluster III,-0.30056,2.187,1.4854,-0.41883,-0.39706,-0.02177,3.6724,-1.902866
TCGA.C5.A907.01,Cluster III,-0.076089,-0.0061098,-0.68257,-0.015644,0.35467,-0.370314,-0.6886798,-4.808796
TCGA.DG.A2KL.01,Cluster III,-0.021774,-1.0606,-1.184,0.20128,-0.13902,0.3403,-2.2446,0.430341
TCGA.DG.A2KM.01,Cluster III,-0.25238,-0.19255,-0.32027,-0.38573,-0.43821,0.05248,-0.51282,0.842864
TCGA.DS.A0VK.01,Cluster III,-1.177,-0.20909,-0.38283,0.15238,0.81078,-0.6584,-0.59192,-0.749719
TCGA.DS.A0VL.01,Cluster III,-0.16133,-0.42961,-0.73389,1.1054,1.6119,-0.5065,-1.1635,0.658581
TCGA.DS.A0VM.01,Cluster III,-0.076372,-0.32104,-0.81742,-0.063236,0.65054,-0.713776,-1.13846,-2.310724
TCGA.DS.A0VN.01,Cluster III,-0.33647,-1.3156,-1.2863,-0.08337,0.14897,-0.23234,-2.6019,-0.87838
TCGA.DS.A1O9.01,Cluster III,-0.20961,-0.41369,-0.80262,-0.27196,-0.095505,-0.176455,-1.21631,-2.521991
TCGA.DS.A1OA.01,Cluster III,-0.27537,-0.29322,-0.76152,-0.1688,0.20754,-0.37634,-1.05474,-1.0364684
TCGA.DS.A1OC.01,Cluster III,-0.36801,-0.65244,-0.99119,-0.31207,-0.53953,0.22746,-1.64363,6.73367
TCGA.DS.A1OD.01,Cluster III,-0.32981,0.48796,-0.26795,-0.35676,-0.49138,0.13462,0.22001,-3.202562
TCGA.DS.A3LQ.01,Cluster III,-0.6554,-0.92364,-0.94215,-0.46696,-0.66289,0.19593,-1.86579,-2.74455
TCGA.DS.A5RQ.01,Cluster III,0.10759,-1.0867,-1.3133,-0.17313,-0.3049,0.13177,-2.4,-2.99265
TCGA.DS.A7WH.01,Cluster III,-0.61994,0.81675,0.14033,-0.1513,-0.21054,0.05924,0.95708,-2.092148
TCGA.DS.A7WI.01,Cluster III,-0.10652,0.0028117,-0.4979,2.8006,3.5478,-0.7472,-0.4950883,0.887416
TCGA.EA.A1QS.01,Cluster III,-1.1617,-0.2419,-0.33014,0.93869,1.7489,-0.81021,-0.57204,-6.04563
TCGA.EA.A1QT.01,Cluster III,-0.83536,-0.58161,-0.7553,-0.34936,-0.44024,0.09088,-1.33691,-1.946843
TCGA.EA.A3HQ.01,Cluster III,-0.55539,-0.20772,-0.57553,-0.13987,0.039728,-0.179598,-0.78325,1.66516
TCGA.EA.A3HR.01,Cluster III,-0.024813,0.47059,-0.10577,0.060183,0.33678,-0.276597,0.36482,-0.39778
TCGA.EA.A3HS.01,Cluster III,-0.48165,-0.69313,-0.9077,-0.30691,0.12239,-0.4293,-1.60083,3.6046
TCGA.EA.A3HT.01,Cluster III,-0.67773,0.48695,-0.036922,0.03083,0.3121,-0.28127,0.450028,-4.47715
TCGA.EA.A3HU.01,Cluster III,-0.056619,0.8419,0.31835,-0.57766,-0.20212,-0.37554,1.16025,-2.950011
TCGA.EA.A3QE.01,Cluster III,-3.2781,-0.80196,-1.5157,0.63655,1.0961,-0.45955,-2.31766,-5.58957
TCGA.EA.A3Y4.01,Cluster III,-0.17126,-0.79849,-1.083,-0.007827,0.75022,-0.758047,-1.88149,-3.260747
TCGA.EA.A411.01,Cluster III,-0.80505,-0.23152,-0.55618,0.14274,0.82659,-0.68385,-0.7877,2.59964
TCGA.EA.A439.01,Cluster III,0.3188,0.43483,-0.057967,-0.2515,0.38179,-0.63329,0.376863,-3.79515
TCGA.EA.A43B.01,Cluster III,-1.3615,-1.3619,-1.0809,2.4203,3.5007,-1.0804,-2.4428,-2.3387
TCGA.EA.A44S.01,Cluster III,-0.20105,-0.15341,-0.57597,-0.31178,-0.15542,-0.15636,-0.72938,-4.29141
TCGA.EA.A50E.01,Cluster III,-2.5992,-1.4644,-0.89901,0.76724,0.74257,0.02467,-2.36341,-2.85227
TCGA.EA.A5ZD.01,Cluster III,-1.5447,-0.80475,-0.86643,0.18214,0.54715,-0.36501,-1.67118,-3.08024
TCGA.EA.A5ZE.01,Cluster III,-0.31817,-0.40258,-0.77497,-0.010963,-0.030559,0.019596,-1.17755,-0.034086
TCGA.EA.A78R.01,Cluster III,-0.63103,1.9877,1.2815,-0.28659,-0.24141,-0.04518,3.2692,4.38515
TCGA.EA.A97N.01,Cluster III,-0.18849,-0.42097,-0.6188,-0.039462,0.649,-0.688462,-1.03977,-1.08452
TCGA.EK.A2H0.01,Cluster III,-0.63841,-0.33606,-0.68275,0.18783,0.60112,-0.41329,-1.01881,-3.30367
TCGA.EK.A2H1.01,Cluster III,-0.44841,-0.42648,-0.58994,-0.11035,0.061233,-0.171583,-1.01642,-1.87283
TCGA.EK.A2IP.01,Cluster III,0.4552,-0.7129,-0.074115,0.60467,1.0122,-0.40753,-0.787015,-4.082226
TCGA.EK.A2IR.01,Cluster III,0.26944,-0.67331,-1.0239,-0.15269,-1.0208,0.86811,-1.69721,-4.82267
TCGA.EK.A2R8.01,Cluster III,-1.5399,-0.41975,-0.66212,0.54031,0.90769,-0.36738,-1.08187,-0.910119
TCGA.EK.A2R9.01,Cluster III,0.19882,-1.0881,-1.0046,-0.34076,-0.34313,0.00237,-2.0927,-2.1033392
TCGA.EK.A2RA.01,Cluster III,-0.091893,-0.54225,-0.98454,-0.30495,-0.3182,0.01325,-1.52679,0.284356
TCGA.EK.A2RC.01,Cluster III,-0.036731,-1.2246,-1.2513,0.027389,-0.35184,0.379229,-2.4759,-5.043227
TCGA.EK.A2RE.01,Cluster III,-1.8842,-1.17,-0.53546,0.77332,0.91822,-0.1449,-1.70546,-4.657266
TCGA.EK.A2RJ.01,Cluster III,-2.2306,-0.78036,0.78189,0.39754,0.25112,0.14642,0.00153,-3.90705
TCGA.EK.A2RK.01,Cluster III,0.057925,0.68564,0.37462,-0.35784,-0.14743,-0.21041,1.06026,-4.757252
TCGA.EK.A2RM.01,Cluster III,-0.2754,-1.1978,-1.1151,-0.15438,-0.16062,0.00624,-2.3129,-2.89116
TCGA.EK.A2RO.01,Cluster III,-0.11397,-1.1357,-1.2089,0.2133,0.52423,-0.31093,-2.3446,-5.35059
TCGA.EX.A1H5.01,Cluster III,-0.032225,1.8579,1.6004,-0.30643,0.064561,-0.370991,3.4583,-1.533335
TCGA.EX.A69L.01,Cluster III,-2.5936,-0.78362,-0.64861,0.027433,-0.23568,0.263113,-1.43223,-3.27385
TCGA.FU.A23L.01,Cluster III,-0.19594,-0.47986,-0.68338,-0.055319,-0.32648,0.271161,-1.16324,6.18978
TCGA.FU.A2QG.01,Cluster III,-0.30271,-0.96,-1.142,0.073096,-0.16196,0.235056,-2.102,0.611425
TCGA.FU.A3TQ.01,Cluster III,-0.85467,1.153,1.1752,-0.18973,-0.1899,0.00017,2.3282,-1.602511
TCGA.GH.A9DA.01,Cluster III,-0.065051,-0.81632,-0.84233,0.050321,0.38758,-0.337259,-1.65865,-0.754324
TCGA.HG.A2PA.01,Cluster III,-0.068357,-0.15373,-0.63925,-0.17991,0.56734,-0.74725,-0.79298,-4.73934
