ID,Cluster,TNF-Signature
TCGA.HQ.A5NE.01,Cluster III,2817.811418
TCGA.K4.A4AB.01,Cluster III,2725.573145
TCGA.K4.A4AC.01,Cluster III,2460.93577
TCGA.K4.A54R.01,Cluster III,2827.207624
TCGA.K4.A5RH.01,Cluster III,3179.073992
TCGA.K4.A5RI.01,Cluster III,2095.368216
TCGA.K4.A6FZ.01,Cluster III,2788.682435
TCGA.LC.A66R.01,Cluster III,2932.351439
TCGA.PQ.A6FI.01,Cluster III,2314.008698
TCGA.PQ.A6FN.01,Cluster III,2180.547762
TCGA.SY.A9G5.01,Cluster III,3132.238364
TCGA.UY.A78L.01,Cluster III,2342.141749
TCGA.UY.A78M.01,Cluster III,2056.534172
TCGA.UY.A78P.01,Cluster III,3114.457628
TCGA.UY.A8OB.01,Cluster III,2278.690914
TCGA.UY.A8OC.01,Cluster III,2430.502486
TCGA.UY.A9PA.01,Cluster III,2607.454269
TCGA.UY.A9PB.01,Cluster III,2991.504492
TCGA.UY.A9PD.01,Cluster III,1977.424848
TCGA.XF.A8HE.01,Cluster III,2839.182997
TCGA.XF.A8HF.01,Cluster III,2174.654819
TCGA.XF.A9SH.01,Cluster III,2274.502166
TCGA.XF.A9SK.01,Cluster III,2568.214699
TCGA.XF.A9SM.01,Cluster III,3036.711398
TCGA.XF.A9SY.01,Cluster III,3139.655807
TCGA.XF.A9T0.01,Cluster III,2028.13533
TCGA.XF.A9T4.01,Cluster III,2697.701864
TCGA.XF.A9T6.01,Cluster III,2198.234083
TCGA.XF.A9T8.01,Cluster III,2957.93076
TCGA.XF.AAMT.01,Cluster III,2536.431883
TCGA.XF.AAMW.01,Cluster III,2553.481776
TCGA.XF.AAN3.01,Cluster III,2423.288121
TCGA.XF.AAN5.01,Cluster III,2782.112184
TCGA.YC.A89H.01,Cluster III,2060.945526
TCGA.ZF.A9RD.01,Cluster III,3050.577693
TCGA.ZF.A9RE.01,Cluster III,2007.119406
TCGA.ZF.AA4N.01,Cluster III,2319.356646
TCGA.ZF.AA4R.01,Cluster III,2091.519519
TCGA.ZF.AA4V.01,Cluster III,2460.398458
TCGA.ZF.AA4W.01,Cluster III,2065.383495
TCGA.ZF.AA53.01,Cluster III,2793.175324
TCGA.ZF.AA56.01,Cluster III,2890.199127
TCGA.ZF.AA58.01,Cluster III,3353.26852
TCGA.ZF.AA5H.01,Cluster III,2655.555373
TCGA.ZF.AA5N.01,Cluster III,1954.787089
TCGA.A1.A0SP.01,Cluster III,2454.090877
TCGA.A2.A1G1.01,Cluster III,2863.739774
TCGA.A7.A26F.01,Cluster III,2943.820105
TCGA.A7.A4SE.01,Cluster III,2522.059629
TCGA.A7.A6VY.01,Cluster III,2883.985486
TCGA.AN.A0FJ.01,Cluster III,1984.440106
TCGA.AR.A0U4.01,Cluster III,3475.583153
TCGA.AR.A5QQ.01,Cluster III,3187.194739
TCGA.B6.A400.01,Cluster III,2705.201528
TCGA.BH.A0BW.01,Cluster III,3228.855283
TCGA.BH.A0DL.01,Cluster III,3219.239566
TCGA.BH.A0DZ.01,Cluster III,2564.501126
TCGA.BH.A1FM.01,Cluster III,1816.512836
TCGA.D8.A1J8.01,Cluster III,2710.628889
TCGA.D8.A1JA.01,Cluster III,2254.75909
TCGA.D8.A1JK.01,Cluster III,3094.605414
TCGA.D8.A1XK.01,Cluster III,2495.686913
TCGA.E2.A14Y.01,Cluster III,2137.282826
TCGA.E2.A1LL.01,Cluster III,2157.540723
TCGA.EW.A1OW.01,Cluster III,2367.385482
TCGA.EW.A1P4.01,Cluster III,2859.328948
TCGA.S3.AA10.01,Cluster III,3166.364636
TCGA.4J.AA1J.01,Cluster III,2185.422335
TCGA.BI.A0VR.01,Cluster III,2928.762436
TCGA.BI.A0VS.01,Cluster III,2103.883737
TCGA.BI.A20A.01,Cluster III,2784.154428
TCGA.C5.A0TN.01,Cluster III,2435.084154
TCGA.C5.A1BE.01,Cluster III,2397.776521
TCGA.C5.A1BF.01,Cluster III,2582.596533
TCGA.C5.A1BI.01,Cluster III,2863.130197
TCGA.C5.A1BJ.01,Cluster III,2707.765001
TCGA.C5.A1BM.01,Cluster III,3191.822527
TCGA.C5.A1BN.01,Cluster III,2012.664866
TCGA.C5.A1BQ.01,Cluster III,2486.106929
TCGA.C5.A1M5.01,Cluster III,2791.44366
TCGA.C5.A1M7.01,Cluster III,2781.924456
TCGA.C5.A1M8.01,Cluster III,2066.140793
TCGA.C5.A1MH.01,Cluster III,3083.785668
TCGA.C5.A1MK.01,Cluster III,2599.525918
TCGA.C5.A1ML.01,Cluster III,2417.046596
TCGA.C5.A1MN.01,Cluster III,2331.8622
TCGA.C5.A1MP.01,Cluster III,3091.974039
TCGA.C5.A2LT.01,Cluster III,2875.839873
TCGA.C5.A2LV.01,Cluster III,2571.495597
TCGA.C5.A2LX.01,Cluster III,3096.216155
TCGA.C5.A2LZ.01,Cluster III,2599.70411
TCGA.C5.A3HD.01,Cluster III,2134.638916
TCGA.C5.A3HL.01,Cluster III,2416.170092
TCGA.C5.A7CH.01,Cluster III,2498.196463
TCGA.C5.A7CJ.01,Cluster III,2908.063595
TCGA.C5.A7CK.01,Cluster III,1987.98961
TCGA.C5.A7CL.01,Cluster III,2581.622012
TCGA.C5.A7CM.01,Cluster III,2012.618315
TCGA.C5.A7CO.01,Cluster III,2241.967717
TCGA.C5.A7UC.01,Cluster III,2256.788512
TCGA.C5.A7UE.01,Cluster III,2288.74033
TCGA.C5.A7UH.01,Cluster III,2383.946227
TCGA.C5.A7UI.01,Cluster III,2807.299181
TCGA.C5.A7X3.01,Cluster III,2752.280453
TCGA.C5.A7X5.01,Cluster III,1972.401334
TCGA.C5.A7XC.01,Cluster III,2601.262162
TCGA.C5.A8XH.01,Cluster III,2626.392437
TCGA.C5.A8XI.01,Cluster III,2743.886042
TCGA.C5.A8XJ.01,Cluster III,2399.739967
TCGA.C5.A8XK.01,Cluster III,2347.456515
TCGA.C5.A8YR.01,Cluster III,2655.845228
TCGA.C5.A8ZZ.01,Cluster III,2020.470174
TCGA.C5.A901.01,Cluster III,2419.675358
TCGA.C5.A907.01,Cluster III,2624.293181
TCGA.DG.A2KL.01,Cluster III,2869.988845
TCGA.DG.A2KM.01,Cluster III,3486.440375
TCGA.DR.A0ZL.01,Cluster III,2070.723836
TCGA.DS.A0VK.01,Cluster III,2170.40764
TCGA.DS.A0VL.01,Cluster III,2544.635835
TCGA.DS.A0VM.01,Cluster III,2601.083981
TCGA.DS.A0VN.01,Cluster III,3058.352586
TCGA.DS.A1O9.01,Cluster III,2927.053118
TCGA.DS.A1OA.01,Cluster III,2811.217425
TCGA.DS.A1OC.01,Cluster III,2430.783139
TCGA.DS.A1OD.01,Cluster III,3153.876399
TCGA.DS.A3LQ.01,Cluster III,2250.201464
TCGA.DS.A5RQ.01,Cluster III,2719.297763
TCGA.DS.A7WH.01,Cluster III,2468.845638
TCGA.DS.A7WI.01,Cluster III,2548.286668
TCGA.EA.A1QS.01,Cluster III,2425.896989
TCGA.EA.A1QT.01,Cluster III,2358.152097
TCGA.EA.A3HQ.01,Cluster III,2635.447381
TCGA.EA.A3HR.01,Cluster III,2267.881385
TCGA.EA.A3HS.01,Cluster III,2223.393884
TCGA.EA.A3HT.01,Cluster III,2731.203303
TCGA.EA.A3HU.01,Cluster III,3009.486958
TCGA.EA.A3QE.01,Cluster III,3064.760261
TCGA.EA.A3Y4.01,Cluster III,3058.797931
TCGA.EA.A411.01,Cluster III,2491.669477
TCGA.EA.A439.01,Cluster III,2177.051689
TCGA.EA.A43B.01,Cluster III,2834.859814
TCGA.EA.A44S.01,Cluster III,2316.887816
TCGA.EA.A50E.01,Cluster III,2556.513051
TCGA.EA.A5ZD.01,Cluster III,2788.403681
TCGA.EA.A5ZE.01,Cluster III,2570.168789
TCGA.EA.A78R.01,Cluster III,2766.045479
TCGA.EA.A97N.01,Cluster III,2365.972937
TCGA.EK.A2GZ.01,Cluster III,2252.620833
TCGA.EK.A2H0.01,Cluster III,2068.195583
TCGA.EK.A2H1.01,Cluster III,3078.290617
TCGA.EK.A2IP.01,Cluster III,2154.85484
TCGA.EK.A2IR.01,Cluster III,1564.816646
TCGA.EK.A2PI.01,Cluster III,1895.603671
TCGA.EK.A2R8.01,Cluster III,2284.702466
TCGA.EK.A2R9.01,Cluster III,2788.166563
TCGA.EK.A2RA.01,Cluster III,2660.086918
TCGA.EK.A2RB.01,Cluster III,2095.890473
TCGA.EK.A2RC.01,Cluster III,2715.893185
TCGA.EK.A2RE.01,Cluster III,2221.794447
TCGA.EK.A2RJ.01,Cluster III,2824.604335
TCGA.EK.A2RK.01,Cluster III,2546.205628
TCGA.EK.A2RM.01,Cluster III,2351.046309
TCGA.EK.A2RN.01,Cluster III,2452.844332
TCGA.EK.A2RO.01,Cluster III,2605.925657
TCGA.EK.A3GJ.01,Cluster III,2755.727212
TCGA.EX.A1H5.01,Cluster III,2170.879057
TCGA.EX.A3L1.01,Cluster III,2927.763399
TCGA.EX.A69L.01,Cluster III,3030.204386
TCGA.FU.A23L.01,Cluster III,2714.888443
TCGA.FU.A2QG.01,Cluster III,2323.202107
TCGA.FU.A3HY.01,Cluster III,1982.610141
TCGA.FU.A3NI.01,Cluster III,2190.848046
TCGA.FU.A3TQ.01,Cluster III,2712.469289
TCGA.FU.A3WB.01,Cluster III,2043.819071
TCGA.FU.A3YQ.01,Cluster III,3048.872444
TCGA.FU.A5XV.01,Cluster III,2399.004052
TCGA.GH.A9DA.01,Cluster III,2855.618342
TCGA.HG.A2PA.01,Cluster III,2737.412566
TCGA.HM.A3JJ.01,Cluster III,2850.174415
TCGA.HM.A3JK.01,Cluster III,2852.624501
TCGA.HM.A4S6.01,Cluster III,2658.778979
TCGA.IR.A3LC.01,Cluster III,2360.639231
TCGA.IR.A3LH.01,Cluster III,3361.743117
TCGA.IR.A3LK.01,Cluster III,2553.066368
TCGA.JW.A5VG.01,Cluster III,2658.246821
TCGA.JW.A5VI.01,Cluster III,2430.903151
TCGA.JW.A5VJ.01,Cluster III,2060.566975
TCGA.JW.A5VK.01,Cluster III,2024.383439
TCGA.JW.A5VL.01,Cluster III,2661.266001
TCGA.JX.A3PZ.01,Cluster III,2884.426638
TCGA.JX.A5QV.01,Cluster III,2488.268158
TCGA.LP.A4AU.01,Cluster III,2628.344571
TCGA.LP.A4AW.01,Cluster III,2550.331698
TCGA.LP.A4AX.01,Cluster III,2941.285581
TCGA.MA.AA3W.01,Cluster III,3213.554146
TCGA.MA.AA3X.01,Cluster III,2568.355076
TCGA.MA.AA3Y.01,Cluster III,3068.67729
TCGA.MA.AA41.01,Cluster III,2157.832929
TCGA.MA.AA42.01,Cluster III,3530.396537
TCGA.MA.AA43.01,Cluster III,2473.218892
TCGA.MU.A8JM.01,Cluster III,2690.999326
TCGA.MY.A5BF.01,Cluster III,2566.67146
TCGA.MY.A913.01,Cluster III,2732.138104
TCGA.PN.A8MA.01,Cluster III,2023.174659
TCGA.Q1.A6DT.01,Cluster III,2194.998581
TCGA.Q1.A6DW.01,Cluster III,2320.815075
TCGA.Q1.A73O.01,Cluster III,2686.236948
TCGA.Q1.A73Q.01,Cluster III,2061.645195
TCGA.UC.A7PD.01,Cluster III,2466.799484
TCGA.UC.A7PF.01,Cluster III,2770.076292
TCGA.UC.A7PG.01,Cluster III,2268.007822
TCGA.UC.A7PG.06,Cluster III,2569.315834
TCGA.VS.A8EB.01,Cluster III,2326.204731
TCGA.VS.A8EC.01,Cluster III,1038.759933
TCGA.VS.A8EI.01,Cluster III,2627.535117
TCGA.VS.A8EK.01,Cluster III,2350.539917
TCGA.VS.A8EL.01,Cluster III,2821.541001
TCGA.VS.A8Q8.01,Cluster III,2937.095508
TCGA.VS.A8QC.01,Cluster III,2088.59363
TCGA.VS.A8QF.01,Cluster III,2508.493976
TCGA.VS.A8QM.01,Cluster III,3036.083549
TCGA.VS.A94W.01,Cluster III,3043.417112
TCGA.VS.A94X.01,Cluster III,2395.648499
TCGA.VS.A94Y.01,Cluster III,2576.515378
TCGA.VS.A94Z.01,Cluster III,2823.871583
TCGA.VS.A950.01,Cluster III,2419.023085
TCGA.VS.A953.01,Cluster III,2328.482415
TCGA.VS.A954.01,Cluster III,2121.218528
TCGA.VS.A958.01,Cluster III,3084.668855
TCGA.VS.A9U6.01,Cluster III,2418.60039
TCGA.VS.A9U7.01,Cluster III,2865.993285
TCGA.VS.A9UB.01,Cluster III,3002.832493
TCGA.VS.A9UH.01,Cluster III,3288.757455
TCGA.VS.A9UJ.01,Cluster III,2003.502054
TCGA.VS.A9UM.01,Cluster III,2634.743159
TCGA.VS.A9UU.01,Cluster III,2140.231388
TCGA.VS.A9UY.01,Cluster III,2699.340556
TCGA.VS.A9V2.01,Cluster III,2606.011005
TCGA.VS.A9V3.01,Cluster III,2702.126944
TCGA.VS.AA62.01,Cluster III,3294.682135
TCGA.WL.A834.01,Cluster III,2148.683927
TCGA.ZJ.A8QO.01,Cluster III,2978.113666
TCGA.ZJ.A8QQ.01,Cluster III,2304.538055
TCGA.ZJ.A8QR.01,Cluster III,2632.87333
TCGA.ZJ.AAX4.01,Cluster III,2719.975343
TCGA.ZJ.AAX8.01,Cluster III,3003.120414
TCGA.ZJ.AAXA.01,Cluster III,1873.316942
TCGA.ZJ.AAXD.01,Cluster III,2395.48074
TCGA.ZJ.AAXJ.01,Cluster III,2239.309349
TCGA.ZJ.AAXN.01,Cluster III,2707.946693
TCGA.ZJ.AAXT.01,Cluster III,2847.851188
TCGA.ZJ.AAXU.01,Cluster III,2703.769251
TCGA.ZJ.AB0H.01,Cluster III,3029.153394
TCGA.ZJ.AB0I.01,Cluster III,2468.986652
TCGA.A6.6653.01,Cluster III,2596.526905
TCGA.AM.5821.01,Cluster III,2939.223037
TCGA.AZ.6607.01,Cluster III,2994.022553
TCGA.D5.6927.01,Cluster III,2904.206878
TCGA.A6.2672.01,Cluster III,788.0130194
TCGA.A6.2674.01,Cluster III,866.5380639
TCGA.A6.3809.01,Cluster III,670.8202624
TCGA.AA.3695.01,Cluster III,-109.9545879
TCGA.AA.3715.01,Cluster III,1006.677669
TCGA.AA.3845.01,Cluster III,455.0159092
TCGA.AA.3950.01,Cluster III,691.783202
TCGA.AA.A00R.01,Cluster III,791.8560897
TCGA.IC.A6RF.01,Cluster III,2566.759882
TCGA.2H.A9GM.01,Cluster III,1385.180254
TCGA.IG.A3I8.01,Cluster III,1129.544132
TCGA.IG.A3QL.01,Cluster III,762.4389573
TCGA.IG.A3Y9.01,Cluster III,1353.378538
TCGA.IG.A3YB.01,Cluster III,1294.741296
TCGA.IG.A3YC.01,Cluster III,1778.279795
TCGA.IG.A4P3.01,Cluster III,1756.911651
TCGA.IG.A50L.01,Cluster III,1108.889087
TCGA.IG.A51D.01,Cluster III,1385.001112
TCGA.IG.A5B8.01,Cluster III,1228.614837
TCGA.IG.A625.01,Cluster III,1094.28881
TCGA.IG.A6QS.01,Cluster III,1515.740908
TCGA.IG.A97H.01,Cluster III,1285.238132
TCGA.IG.A97I.01,Cluster III,1357.438102
TCGA.JY.A6FA.01,Cluster III,658.8630155
TCGA.JY.A6FD.01,Cluster III,1486.728512
TCGA.JY.A6FE.01,Cluster III,1182.615828
TCGA.JY.A6FG.01,Cluster III,1213.303484
TCGA.JY.A93F.01,Cluster III,784.3676822
TCGA.L5.A43C.01,Cluster III,2334.74743
TCGA.L5.A43H.01,Cluster III,1428.451011
TCGA.L5.A43J.01,Cluster III,1221.85828
TCGA.L5.A4OE.01,Cluster III,1741.764852
TCGA.L5.A4OG.01,Cluster III,1533.621306
TCGA.L5.A4OM.01,Cluster III,1090.856614
TCGA.L5.A4OQ.01,Cluster III,1963.876628
TCGA.L5.A4OT.01,Cluster III,1945.234822
TCGA.L5.A88W.01,Cluster III,1232.034752
TCGA.L5.A88Z.01,Cluster III,1119.818069
TCGA.L5.A8NK.01,Cluster III,1138.880683
TCGA.L5.A8NQ.01,Cluster III,1477.536999
TCGA.L5.A8NW.01,Cluster III,1315.774755
TCGA.L7.A56G.01,Cluster III,1223.847137
TCGA.LN.A49K.01,Cluster III,1361.491478
TCGA.LN.A49M.01,Cluster III,1060.77139
TCGA.LN.A49N.01,Cluster III,1676.598479
TCGA.LN.A49O.01,Cluster III,1547.245524
TCGA.LN.A49P.01,Cluster III,1760.354939
TCGA.LN.A49R.01,Cluster III,1455.230135
TCGA.LN.A49S.01,Cluster III,1137.276234
TCGA.LN.A49U.01,Cluster III,889.7724726
TCGA.LN.A49W.01,Cluster III,1866.473483
TCGA.LN.A49X.01,Cluster III,1462.096246
TCGA.LN.A4A1.01,Cluster III,1079.981023
TCGA.LN.A4A2.01,Cluster III,1020.923132
TCGA.LN.A4A3.01,Cluster III,1118.907517
TCGA.LN.A4A4.01,Cluster III,773.3663723
TCGA.LN.A4A6.01,Cluster III,952.1009741
TCGA.LN.A4A8.01,Cluster III,1605.310533
TCGA.LN.A4A9.01,Cluster III,1668.658445
TCGA.LN.A4MQ.01,Cluster III,598.5318195
TCGA.LN.A4MR.01,Cluster III,1605.740345
TCGA.LN.A5U5.01,Cluster III,1226.913994
TCGA.LN.A5U6.01,Cluster III,1050.106026
TCGA.LN.A5U7.01,Cluster III,1023.610183
TCGA.LN.A7HV.01,Cluster III,1096.295757
TCGA.LN.A7HW.01,Cluster III,933.2592382
TCGA.LN.A7HX.01,Cluster III,1113.90594
TCGA.LN.A7HY.01,Cluster III,972.9627308
TCGA.LN.A7HZ.01,Cluster III,1301.247041
TCGA.LN.A8HZ.01,Cluster III,809.5165094
TCGA.LN.A8I0.01,Cluster III,1122.949694
TCGA.LN.A8I1.01,Cluster III,1570.035982
TCGA.LN.A9FO.01,Cluster III,1614.40389
TCGA.LN.A9FQ.01,Cluster III,935.8622113
TCGA.LN.A9FR.01,Cluster III,1232.49028
TCGA.Q9.A6FU.01,Cluster III,1063.670683
TCGA.Q9.A6FW.01,Cluster III,1545.340478
TCGA.R6.A6DN.01,Cluster III,1275.648648
TCGA.R6.A6L6.01,Cluster III,1252.320712
TCGA.R6.A6Y0.01,Cluster III,1433.243427
TCGA.R6.A8W5.01,Cluster III,1466.18523
TCGA.S8.A6BW.01,Cluster III,1132.558112
TCGA.V5.A7RC.01,Cluster III,747.1868135
TCGA.V5.A7RC.06,Cluster III,523.2633324
TCGA.V5.AASV.01,Cluster III,1315.877845
TCGA.VR.A8EO.01,Cluster III,1172.452174
TCGA.VR.A8EP.01,Cluster III,694.9812051
TCGA.VR.A8ER.01,Cluster III,1078.019176
TCGA.VR.A8ET.01,Cluster III,1116.77518
TCGA.VR.A8EU.01,Cluster III,1209.523536
TCGA.VR.A8EW.01,Cluster III,1090.587275
TCGA.VR.A8EX.01,Cluster III,1081.248136
TCGA.VR.A8EY.01,Cluster III,1008.959443
TCGA.VR.A8EZ.01,Cluster III,883.3286215
TCGA.VR.A8Q7.01,Cluster III,1106.326275
TCGA.VR.AA4G.01,Cluster III,1484.565044
TCGA.VR.AA7B.01,Cluster III,910.1056307
TCGA.VR.AA7D.01,Cluster III,1803.408709
TCGA.VR.AA7I.01,Cluster III,1748.371306
TCGA.XP.A8T6.01,Cluster III,1306.751314
TCGA.XP.A8T8.01,Cluster III,1126.466959
TCGA.Z6.A8JD.01,Cluster III,1497.201679
TCGA.Z6.A8JE.01,Cluster III,829.2817148
TCGA.Z6.A9VB.01,Cluster III,926.1528136
TCGA.Z6.AAPN.01,Cluster III,1431.305085
TCGA.ZR.A9CJ.01,Cluster III,1387.242598
TCGA.02.0055.01,Cluster III,2895.327236
TCGA.06.0125.01,Cluster III,1517.581263
TCGA.06.0152.02,Cluster III,2220.310643
TCGA.06.0156.01,Cluster III,2077.09849
TCGA.06.0156.01.1,Cluster III,2075.488969
TCGA.06.0187.01,Cluster III,2117.706577
TCGA.06.0190.01,Cluster III,2585.089362
TCGA.06.0210.01,Cluster III,2260.81876
TCGA.06.0211.01,Cluster III,2261.984922
TCGA.06.0211.02,Cluster III,2488.894043
TCGA.06.0646.01,Cluster III,2178.501415
TCGA.06.0878.01,Cluster III,2305.45561
TCGA.06.2559.01,Cluster III,1381.242027
TCGA.06.2562.01,Cluster III,2041.079478
TCGA.06.2563.01,Cluster III,1612.905063
TCGA.06.5413.01,Cluster III,1882.390202
TCGA.06.5418.01,Cluster III,2072.631922
TCGA.06.5858.01,Cluster III,1687.612905
TCGA.14.0817.01,Cluster III,2357.763075
TCGA.14.1402.02,Cluster III,1793.286738
TCGA.19.1389.02,Cluster III,2758.986981
TCGA.19.2629.01,Cluster III,1743.393357
TCGA.19.4065.01,Cluster III,2230.545205
TCGA.19.4065.02,Cluster III,2171.506769
TCGA.26.5135.01,Cluster III,1621.627294
TCGA.26.5139.01,Cluster III,1980.825853
TCGA.27.1830.01,Cluster III,2032.273929
TCGA.27.1837.01,Cluster III,1729.106565
TCGA.27.2524.01,Cluster III,2300.090972
TCGA.28.2513.01,Cluster III,2504.784127
TCGA.28.5208.01,Cluster III,1794.653999
TCGA.28.5209.01,Cluster III,1675.932258
TCGA.28.5215.01,Cluster III,1718.76753
TCGA.28.5216.01,Cluster III,1666.822303
TCGA.32.2615.01,Cluster III,2126.988981
TCGA.32.4213.01,Cluster III,2303.16621
TCGA.32.5222.01,Cluster III,1849.020768
TCGA.41.2572.01,Cluster III,1900.065443
TCGA.76.4927.01,Cluster III,1842.223202
TCGA.4P.AA8J.01,Cluster III,2831.535234
TCGA.BA.4074.01,Cluster III,2581.872239
TCGA.BA.4075.01,Cluster III,2770.304337
TCGA.BA.4076.01,Cluster III,2259.951618
TCGA.BA.4077.01,Cluster III,3022.587028
TCGA.BA.4078.01,Cluster III,2414.490187
TCGA.BA.5149.01,Cluster III,2545.196671
TCGA.BA.5151.01,Cluster III,2764.805608
TCGA.BA.5152.01,Cluster III,2905.834067
TCGA.BA.5153.01,Cluster III,3096.703216
TCGA.BA.5555.01,Cluster III,2500.634733
TCGA.BA.5556.01,Cluster III,3231.998436
TCGA.BA.5557.01,Cluster III,3346.309595
TCGA.BA.5558.01,Cluster III,2925.952553
TCGA.BA.5559.01,Cluster III,3332.548734
TCGA.BA.6868.01,Cluster III,2447.964157
TCGA.BA.6869.01,Cluster III,2587.464695
TCGA.BA.6870.01,Cluster III,2802.445584
TCGA.BA.6871.01,Cluster III,2715.626462
TCGA.BA.6872.01,Cluster III,2538.176491
TCGA.BA.6873.01,Cluster III,2614.136508
TCGA.BA.7269.01,Cluster III,2142.103632
TCGA.BA.A4IF.01,Cluster III,1978.639897
TCGA.BA.A4IG.01,Cluster III,2422.272238
