ID,Cluster,IFNG
TCGA.61.1907.01,Cluster II,9.476301399
TCGA.BJ.A45E.01,Cluster IV,11.86717489
TCGA.S3.AA17.01,Cluster II,10.33827758
TCGA.CR.7385.01,Cluster III,9.706104492
TCGA.E1.A7YN.01,Cluster I,5.926817091
TCGA.36.1578.01,Cluster II,9.237500264
TCGA.B1.5398.01,Cluster I,7.556161603
TCGA.A5.A0GQ.01,Cluster II,8.202433935
TCGA.AC.A2FB.01,Cluster IV,9.394743215
TCGA.RD.A8MV.01,Cluster IV,9.574929544
TCGA.EX.A69M.01,Cluster I,11.69376728
TCGA.BR.8589.01,Cluster II,11.610298
TCGA.TM.A84F.01,Cluster I,8.766869031
TCGA.R2.A69V.01,Cluster II,12.49567954
TCGA.25.2392.01,Cluster II,5.364941766
TCGA.DQ.7593.01,Cluster III,9.991413749
TCGA.HU.A4HB.01,Cluster II,9.128706109
TCGA.D3.A2JB.06,Cluster II,10.47140542
TCGA.C5.A7CG.01,Cluster II,12.98964979
TCGA.EW.A1IZ.01,Cluster II,11.29279811
TCGA.TN.A7HL.01,Cluster III,11.97336572
TCGA.HT.7473.01,Cluster I,2.070868391
TCGA.CQ.6222.01,Cluster III,10.69294109
TCGA.BR.4253.01,Cluster III,13.50154774
TCGA.DJ.A3US.01,Cluster IV,9.969033668
TCGA.EE.A181.06,Cluster II,10.72091834
TCGA.KS.A4ID.01,Cluster IV,10.18015132
TCGA.Z5.AAPL.01,Cluster IV,9.36179488
TCGA.MA.AA42.01,Cluster III,13.53192957
TCGA.2J.AABF.01,Cluster IV,8.32942759
TCGA.2G.AAHN.01,Cluster II,11.09009164
TCGA.CZ.5452.01,Cluster I,11.0597803
TCGA.HU.A4GJ.01,Cluster IV,8.590725489
TCGA.06.2557.01,Cluster I,7.624620804
TCGA.HT.8106.01,Cluster IV,8.457177989
TCGA.2K.A9WE.01,Cluster IV,2.703171625
TCGA.HC.8266.01,Cluster IV,9.326667218
TCGA.AL.3473.01,Cluster I,11.19069268
TCGA.L4.A4E6.01,Cluster IV,9.331373427
TCGA.EB.A85J.01,Cluster II,10.44849926
TCGA.BP.4161.01,Cluster IV,10.72241946
TCGA.D1.A17F.01,Cluster II,8.253726252
TCGA.B0.4693.01,Cluster IV,9.527230838
TCGA.HE.A5NL.01,Cluster I,5.66480766
TCGA.XE.A8H4.01,Cluster II,11.0249024
TCGA.CR.6481.01,Cluster III,11.39286513
TCGA.23.1123.01,Cluster II,9.220010881
TCGA.HU.8608.01,Cluster III,12.45192161
TCGA.C5.A1BM.01,Cluster III,11.64429066
TCGA.DJ.A3V2.01,Cluster IV,9.63521771
TCGA.AP.A059.01,Cluster II,12.09064622
TCGA.CJ.5675.01,Cluster IV,11.04026558
TCGA.PE.A5DE.01,Cluster IV,11.03390776
TCGA.B8.A54D.01,Cluster I,10.61007287
TCGA.2G.AAFG.01,Cluster II,10.82474939
TCGA.HW.A5KM.01,Cluster I,3.055755676
TCGA.B2.4102.01,Cluster IV,8.94766914
TCGA.D8.A1JB.01,Cluster IV,10.19950931
TCGA.D9.A3Z1.06,Cluster II,10.17467321
TCGA.13.0801.01,Cluster II,8.830891739
TCGA.CN.A6V6.01,Cluster III,11.66493321
TCGA.XM.A8RL.01,Cluster I,2.809830415
TCGA.B0.4847.01,Cluster IV,10.79308535
TCGA.VS.A9UI.01,Cluster I,9.77824062
TCGA.EL.A3T6.01,Cluster IV,10.0239927
TCGA.A3.A6NJ.01,Cluster IV,10.06501659
TCGA.DO.A2HM.01,Cluster IV,10.32777459
TCGA.B0.5698.01,Cluster IV,9.16466851
TCGA.97.7552.01,Cluster IV,11.08384669
TCGA.L5.A4OE.01,Cluster III,9.218520752
TCGA.77.8131.01,Cluster IV,10.52281783
TCGA.34.5232.01,Cluster III,9.658694573
TCGA.D1.A17L.01,Cluster II,7.231650867
TCGA.BH.A18H.01,Cluster IV,10.15790065
TCGA.D3.A1Q7.06,Cluster IV,12.36557231
TCGA.EL.A3GX.01,Cluster I,7.982872722
TCGA.4Z.AA7Q.01,Cluster II,11.03670432
TCGA.05.4433.01,Cluster IV,8.926560274
TCGA.DE.A4M8.01,Cluster IV,10.26747821
TCGA.EE.A29P.06,Cluster II,12.5340541
TCGA.4K.AA1H.01,Cluster IV,11.96665141
TCGA.ER.A199.06,Cluster II,9.727889787
TCGA.EA.A3HU.01,Cluster III,12.25367396
TCGA.GV.A3QK.01,Cluster II,8.08486832
TCGA.BP.4162.01,Cluster IV,10.42659046
TCGA.77.A5FZ.01,Cluster IV,9.287571108
TCGA.55.8513.01,Cluster IV,7.897138436
TCGA.E9.A22D.01,Cluster II,12.25267053
TCGA.2X.A9D5.01,Cluster II,10.06597979
TCGA.D1.A0ZV.01,Cluster II,7.050046207
TCGA.D3.A8GJ.06,Cluster II,12.72410965
TCGA.A3.3357.01,Cluster IV,8.859956973
TCGA.A3.3351.01,Cluster IV,10.28786485
TCGA.CW.5587.01,Cluster IV,10.96750258
TCGA.E8.A44M.01,Cluster IV,11.59695544
TCGA.GD.A76B.01,Cluster II,9.881788722
TCGA.EA.A3QE.01,Cluster III,12.13764626
TCGA.BP.4777.01,Cluster IV,10.45973363
TCGA.CS.6290.01,Cluster I,1.896901531
TCGA.ER.A2NG.06,Cluster II,11.6907706
TCGA.BK.A139.01,Cluster II,8.64182847
TCGA.ZJ.AAX4.01,Cluster III,9.289722794
TCGA.BJ.A3PR.01,Cluster IV,11.33781061
TCGA.CQ.5331.01,Cluster III,12.35767886
TCGA.ET.A3BS.01,Cluster IV,9.639089528
TCGA.16.0846.01,Cluster I,6.770358169
TCGA.E9.A1NE.01,Cluster IV,11.17841316
TCGA.69.8453.01,Cluster IV,9.467719523
TCGA.VQ.A923.01,Cluster IV,11.18855288
TCGA.AR.A0TT.01,Cluster II,10.84798124
TCGA.E9.A5UP.01,Cluster I,2.675964188
TCGA.MY.A5BE.01,Cluster II,12.8571122
TCGA.61.2104.01,Cluster II,8.870293378
TCGA.AC.A3OD.01,Cluster IV,8.878330591
TCGA.EW.A1PE.01,Cluster IV,9.76961737
TCGA.DJ.A2PO.01,Cluster IV,8.414430155
TCGA.EL.A4K2.01,Cluster IV,7.402917007
TCGA.D7.8575.01,Cluster IV,6.690387894
TCGA.EL.A4JX.01,Cluster IV,11.06053846
TCGA.BH.A209.01,Cluster II,11.46883494
TCGA.75.5122.01,Cluster IV,11.94988158
TCGA.IG.A4P3.01,Cluster III,10.96970036
TCGA.CR.6487.01,Cluster III,11.97025358
TCGA.LL.A5YO.01,Cluster II,11.6366122
TCGA.FI.A2F4.01,Cluster II,9.959595115
TCGA.A3.3343.01,Cluster IV,8.26051833
TCGA.CG.5734.01,Cluster IV,9.592140293
TCGA.C5.A1BL.01,Cluster I,10.82995681
TCGA.97.7553.01,Cluster IV,9.485053485
TCGA.CV.A45O.01,Cluster III,8.792355692
TCGA.MA.AA3W.01,Cluster III,12.23782792
TCGA.JX.A3Q0.01,Cluster I,10.85420085
TCGA.CV.6938.01,Cluster III,12.19636126
TCGA.DQ.7590.01,Cluster III,12.08639058
TCGA.A5.A0GR.01,Cluster II,8.224040487
TCGA.57.1994.01,Cluster II,8.967982115
TCGA.L5.A893.01,Cluster II,7.670647912
TCGA.CZ.5985.01,Cluster IV,10.10281985
TCGA.C8.A12V.01,Cluster IV,12.33772727
TCGA.DA.A1HW.06,Cluster II,10.83621371
TCGA.UZ.A9PS.05,Cluster I,7.499477694
TCGA.V9.A7HT.01,Cluster I,5.050653703
TCGA.HT.A615.01,Cluster I,3.579746004
TCGA.VQ.A8PX.01,Cluster I,7.522927364
TCGA.BQ.7059.01,Cluster IV,6.526158713
TCGA.D3.A8GS.06,Cluster II,10.30235389
TCGA.21.1076.01,Cluster IV,10.28591566
TCGA.XY.A9T9.01,Cluster II,10.54113395
TCGA.B9.A5W8.01,Cluster I,3.023741601
TCGA.28.1747.01,Cluster I,3.197132646
TCGA.BP.4173.01,Cluster IV,12.4941858
TCGA.L5.A88Y.01,Cluster IV,7.385465699
TCGA.EK.A3GJ.01,Cluster III,12.273799
TCGA.55.8619.01,Cluster IV,8.778150738
TCGA.EE.A2MN.06,Cluster II,9.912063204
TCGA.24.1847.01,Cluster IV,10.78990753
TCGA.A3.3359.01,Cluster IV,10.02834287
TCGA.X7.A8D7.01,Cluster I,6.013736065
TCGA.18.3416.01,Cluster III,12.38657111
TCGA.AC.A6IX.06,Cluster IV,8.092899808
TCGA.2G.AAF1.01,Cluster II,10.63483527
TCGA.DA.A1HV.06,Cluster II,11.29517924
TCGA.A7.A3J1.01,Cluster IV,8.403615856
TCGA.BT.A42F.01,Cluster III,10.46026553
TCGA.58.8393.01,Cluster III,10.9989353
TCGA.A5.A0GD.01,Cluster II,NA
TCGA.DQ.7596.01,Cluster III,9.089242374
TCGA.W2.A7HC.01,Cluster IV,6.640956316
TCGA.2G.AAF6.01,Cluster II,9.824943363
TCGA.EW.A1PB.01,Cluster II,12.91118828
TCGA.DD.AACC.01,Cluster I,11.17056483
TCGA.BP.4771.01,Cluster IV,11.60998809
TCGA.A7.A13H.01,Cluster IV,8.768031937
TCGA.43.A475.01,Cluster III,11.94116417
TCGA.06.0132.01,Cluster IV,2.998592564
TCGA.A5.A0G5.01,Cluster II,11.45368456
TCGA.DQ.7594.01,Cluster III,11.14803224
TCGA.KB.A93J.01,Cluster II,10.42377053
TCGA.D1.A15X.01,Cluster II,11.44500492
TCGA.X7.A8DB.01,Cluster I,8.015087662
TCGA.A6.6780.01,Cluster II,11.01359261
TCGA.VQ.A8PQ.01,Cluster IV,8.603792668
TCGA.ER.A2NF.06,Cluster I,6.88690058
TCGA.EM.A4FV.01,Cluster IV,8.914132237
TCGA.V5.AASX.01,Cluster IV,10.34190049
TCGA.FB.AAPY.01,Cluster IV,7.305919258
TCGA.D1.A16X.01,Cluster II,9.508695272
TCGA.06.0129.01,Cluster I,2.508049328
TCGA.DU.A7TI.01,Cluster I,4.136610309
TCGA.GM.A2DI.01,Cluster IV,9.882974564
TCGA.06.5410.01,Cluster IV,2.618102482
TCGA.VS.A9V2.01,Cluster III,10.9257656
TCGA.NC.A5HJ.01,Cluster IV,10.84142836
TCGA.S7.A7WL.01,Cluster I,6.940268576
TCGA.VQ.A8PF.01,Cluster IV,11.41962851
TCGA.MA.AA3Z.01,Cluster I,11.40481233
TCGA.ET.A3DT.01,Cluster IV,10.46533882
TCGA.B0.4824.01,Cluster IV,10.59542293
TCGA.GL.A9DD.01,Cluster I,6.439167499
TCGA.EY.A1GC.01,Cluster II,9.415290479
TCGA.BP.4330.01,Cluster IV,10.80057984
TCGA.VQ.A8E3.01,Cluster II,10.75203738
TCGA.AG.3594.01,Cluster II,10.7835798
TCGA.KK.A7AV.01,Cluster IV,8.155624048
TCGA.CZ.5455.01,Cluster IV,11.39045676
TCGA.EE.A3JD.06,Cluster II,11.57634798
TCGA.E2.A1II.01,Cluster II,12.27980946
TCGA.06.0749.01,Cluster I,1.823065624
TCGA.IN.7808.01,Cluster IV,9.049151755
TCGA.29.1784.01,Cluster I,9.611822087
TCGA.CQ.7063.01,Cluster III,12.04263607
TCGA.66.2767.01,Cluster III,10.89529222
TCGA.E8.A419.01,Cluster IV,10.45109343
TCGA.B5.A11I.01,Cluster II,8.292256172
TCGA.A2.A0CL.01,Cluster IV,10.76275187
TCGA.UY.A9PA.01,Cluster III,9.293503704
TCGA.E2.A1B5.01,Cluster IV,10.54783472
TCGA.BA.5556.01,Cluster III,11.93511051
TCGA.C5.A1MH.01,Cluster III,12.13393416
TCGA.L5.A4OP.01,Cluster II,7.3938492
TCGA.A3.3378.01,Cluster IV,9.870570166
TCGA.75.6203.01,Cluster IV,8.791358457
TCGA.WE.AAA4.06,Cluster II,11.17351941
TCGA.DW.7841.01,Cluster I,7.508783714
TCGA.BJ.A28T.01,Cluster IV,11.31884558
TCGA.E9.A1R4.01,Cluster II,9.864507855
TCGA.EM.A1CT.01,Cluster I,6.252443927
TCGA.EE.A2GU.06,Cluster I,10.42783909
TCGA.4X.A9FB.01,Cluster II,8.147566717
TCGA.AR.A1AJ.01,Cluster IV,11.59053335
TCGA.31.1950.01,Cluster II,9.502192507
TCGA.24.2281.01,Cluster II,9.908448095
TCGA.66.2771.01,Cluster III,10.65621498
TCGA.VF.A8AE.01,Cluster II,11.1509866
TCGA.R6.A6Y0.01,Cluster III,7.348257659
TCGA.BB.A6UM.01,Cluster II,11.38531453
TCGA.55.8206.01,Cluster IV,6.708765012
TCGA.WE.A8K4.01,Cluster II,11.09816233
TCGA.FP.7998.01,Cluster IV,12.51700663
TCGA.EY.A1GE.01,Cluster II,6.820681582
TCGA.QK.A6V9.01,Cluster III,11.17138659
TCGA.B0.5692.01,Cluster I,10.84672364
TCGA.EW.A1OV.01,Cluster IV,10.67929325
TCGA.24.1553.01,Cluster II,10.07474386
TCGA.CQ.7068.01,Cluster III,12.80460062
TCGA.CF.A9FM.01,Cluster I,5.712826949
TCGA.B5.A0JZ.01,Cluster II,10.27137234
TCGA.DU.5853.01,Cluster I,2.355750645
TCGA.A3.3358.01,Cluster IV,9.703881561
TCGA.B2.5635.01,Cluster IV,9.48194043
TCGA.HU.A4H4.01,Cluster II,11.11466491
TCGA.29.1781.01,Cluster II,10.55108359
TCGA.BJ.A28R.01,Cluster IV,8.567967783
TCGA.V1.A9O9.01,Cluster IV,8.431706177
TCGA.V1.A8MJ.01,Cluster II,8.013938496
TCGA.D9.A1JW.06,Cluster II,9.07090546
TCGA.FR.A8YE.06,Cluster IV,8.675223937
TCGA.A8.A081.01,Cluster II,10.03532622
TCGA.B0.4838.01,Cluster IV,10.59925069
TCGA.G4.6321.01,Cluster I,2.510199487
TCGA.4Z.AA7W.01,Cluster II,11.77788885
TCGA.A2.A25F.01,Cluster IV,11.97309344
TCGA.R6.A8W8.01,Cluster II,9.085569996
TCGA.FB.A78T.01,Cluster IV,6.196328397
TCGA.97.A4M0.01,Cluster I,8.962291963
TCGA.HT.7858.01,Cluster I,3.98619246
TCGA.BR.8296.01,Cluster IV,7.436696619
TCGA.86.6851.01,Cluster IV,11.74549767
TCGA.DK.A2I4.01,Cluster IV,11.90650709
TCGA.NC.A5HE.01,Cluster III,12.15187865
TCGA.DJ.A4V0.01,Cluster IV,10.4720463
TCGA.BJ.A0ZJ.01,Cluster IV,8.997054
TCGA.A8.A09K.01,Cluster I,9.457518904
TCGA.J2.A4AE.01,Cluster IV,9.029052816
TCGA.IN.AB1X.01,Cluster II,9.514704123
TCGA.CZ.4862.01,Cluster IV,11.62047373
TCGA.A8.A07U.01,Cluster IV,11.72518019
TCGA.AA.3710.01,Cluster II,11.23327207
TCGA.XE.AAO6.01,Cluster II,10.3471479
TCGA.BH.A0B6.01,Cluster IV,11.43535123
TCGA.CH.5743.01,Cluster IV,7.045848589
TCGA.BH.A18V.06,Cluster II,12.22131331
TCGA.LT.A5Z6.01,Cluster I,7.771926041
TCGA.D1.A17B.01,Cluster IV,5.893178317
TCGA.AR.A1AO.01,Cluster IV,9.482229949
TCGA.X7.A8DG.01,Cluster II,8.517231913
TCGA.A2.A25D.01,Cluster IV,9.983359423
TCGA.24.1428.01,Cluster II,8.429188039
TCGA.ZF.A9R4.01,Cluster I,8.85072213
TCGA.K7.A5RG.01,Cluster II,11.51323873
TCGA.43.A56U.01,Cluster III,9.571392265
TCGA.UF.A7JO.01,Cluster III,12.0177646
TCGA.A8.A09Z.01,Cluster II,9.52196337
TCGA.BH.A0DL.01,Cluster III,11.10215372
TCGA.EE.A2GT.06,Cluster II,6.264620556
TCGA.CJ.5672.01,Cluster IV,10.86810277
TCGA.D3.A51J.06,Cluster II,10.70092341
TCGA.FS.A1Z4.06,Cluster IV,9.826967194
TCGA.BB.7866.01,Cluster III,9.744092891
TCGA.AX.A063.01,Cluster II,10.26114688
TCGA.B0.4714.01,Cluster IV,11.51132285
TCGA.EX.A8YF.01,Cluster I,10.40227739
TCGA.D3.A2JH.06,Cluster II,11.60729356
TCGA.CZ.5462.01,Cluster IV,9.584626689
TCGA.E7.A8O7.01,Cluster II,6.018459083
TCGA.L5.A43E.01,Cluster I,7.31348423
TCGA.CH.5753.01,Cluster I,9.06289205
TCGA.KK.A59V.01,Cluster II,10.52233398
TCGA.24.1924.01,Cluster II,10.06591522
TCGA.AR.A0TV.01,Cluster II,9.561604887
TCGA.06.0882.01,Cluster IV,4.865928787
TCGA.09.1670.01,Cluster II,NA
TCGA.A2.A0EQ.01,Cluster II,11.38484203
TCGA.91.A4BD.01,Cluster I,8.251953092
TCGA.WZ.A7V4.01,Cluster II,10.41585308
TCGA.A8.A0A6.01,Cluster IV,10.16071376
TCGA.Y8.A8RY.01,Cluster I,6.176819409
TCGA.CR.7394.01,Cluster III,11.35383192
TCGA.CS.4942.01,Cluster I,4.019103761
TCGA.DK.AA6T.01,Cluster II,7.62140316
TCGA.VQ.A91E.01,Cluster I,8.46664868
TCGA.FI.A2CY.01,Cluster II,8.615833394
TCGA.A4.A48D.01,Cluster I,2.555148813
TCGA.CN.5360.01,Cluster III,10.31016886
TCGA.A8.A06N.01,Cluster I,5.241199457
TCGA.E9.A1ND.01,Cluster IV,11.94493536
TCGA.EM.A22M.01,Cluster IV,9.864435081
TCGA.VS.A9UY.01,Cluster III,9.495570926
TCGA.VR.A8EQ.01,Cluster II,6.227290906
TCGA.90.7766.01,Cluster III,9.510475569
TCGA.2H.A9GK.01,Cluster IV,8.38721473
TCGA.VS.A94Z.01,Cluster III,11.06675857
TCGA.29.2427.01,Cluster II,10.21489497
TCGA.61.2008.02,Cluster II,10.187659
TCGA.FN.7833.01,Cluster I,2.286667386
TCGA.K4.A5RJ.01,Cluster II,12.05658049
TCGA.36.1581.01,Cluster II,10.74361609
TCGA.CR.7404.01,Cluster III,10.18605303
TCGA.BP.4325.01,Cluster IV,9.848468909
TCGA.22.5474.01,Cluster III,11.20254041
TCGA.CV.7410.01,Cluster III,10.41061436
TCGA.D6.6825.01,Cluster III,11.36037622
TCGA.AR.A0TR.01,Cluster I,5.98327336
TCGA.HT.A618.01,Cluster I,1.952649148
TCGA.ER.A19A.06,Cluster IV,11.73063011
TCGA.ER.A19N.06,Cluster IV,9.94983544
TCGA.3N.A9WC.06,Cluster II,11.8587322
TCGA.ZM.AA0F.01,Cluster II,9.645785311
TCGA.Q3.A5QY.01,Cluster IV,7.629886568
TCGA.BP.5183.01,Cluster IV,9.806002709
TCGA.AR.A0U0.01,Cluster II,11.62481303
TCGA.LD.A9QF.01,Cluster IV,10.08108323
TCGA.2G.AAFH.01,Cluster II,10.29524059
TCGA.L5.A8NV.01,Cluster IV,7.437162373
TCGA.AA.3986.01,Cluster II,9.461946348
TCGA.F1.6874.01,Cluster III,9.185785618
TCGA.FR.A729.06,Cluster II,11.15744449
TCGA.AR.A1AX.01,Cluster IV,9.716613746
TCGA.BQ.7062.01,Cluster I,5.635701325
TCGA.BR.6852.01,Cluster II,12.10806472
TCGA.55.6987.01,Cluster IV,11.7429005
TCGA.EB.A6L9.06,Cluster II,8.398105905
TCGA.AR.A1AI.01,Cluster II,10.69292423
TCGA.AR.A252.01,Cluster IV,10.68161219
TCGA.HT.8108.01,Cluster I,1.990982197
TCGA.L5.A8NM.01,Cluster II,9.538533721
TCGA.CZ.4863.01,Cluster IV,10.86831394
TCGA.BR.A4PF.01,Cluster II,9.758144785
TCGA.ER.A19G.06,Cluster II,10.69425138
TCGA.EB.A551.01,Cluster II,11.54196052
TCGA.05.4422.01,Cluster I,10.18617729
TCGA.AR.A1AK.01,Cluster IV,9.45962058
TCGA.OL.A5RU.01,Cluster IV,7.296600078
TCGA.2G.AAG9.01,Cluster II,9.863056029
TCGA.EK.A2RN.01,Cluster III,8.640316724
TCGA.HU.A4GX.01,Cluster II,10.91629026
TCGA.L5.A4OU.01,Cluster IV,10.91752794
TCGA.BJ.A28Z.01,Cluster IV,10.60029212
TCGA.AA.3815.01,Cluster II,10.07604309
TCGA.HT.7478.01,Cluster I,4.75400536
TCGA.CQ.5327.01,Cluster III,11.58589106
TCGA.D1.A16E.01,Cluster II,5.412382365
TCGA.HZ.A49G.01,Cluster IV,7.432665094
TCGA.27.1834.01,Cluster I,6.92851633
TCGA.CG.5732.01,Cluster II,7.628406661
TCGA.A3.3307.01,Cluster IV,9.128864736
TCGA.A8.A0A1.01,Cluster IV,9.664568893
TCGA.BJ.A28W.01,Cluster II,10.6469364
TCGA.DQ.7591.01,Cluster III,10.87464787
TCGA.D1.A1NZ.01,Cluster II,9.835788647
TCGA.HT.7854.01,Cluster I,0.837688111
TCGA.02.2486.01,Cluster IV,6.71195459
TCGA.B9.4113.01,Cluster I,5.466471221
TCGA.BP.5191.01,Cluster IV,11.11798555
TCGA.LP.A5U3.01,Cluster I,10.45608899
TCGA.CJ.4887.01,Cluster IV,10.67157055
TCGA.CR.6480.01,Cluster III,9.423509388
TCGA.CN.A499.01,Cluster III,12.71115769
TCGA.BP.4992.01,Cluster IV,10.14472963
TCGA.LL.A442.01,Cluster I,4.470215195
TCGA.F7.A50G.01,Cluster III,10.99072999
TCGA.L5.A8NH.01,Cluster II,6.939390497
TCGA.ER.A19O.06,Cluster II,7.703068607
TCGA.L5.A4OX.01,Cluster II,7.661438524
TCGA.S9.A7IY.01,Cluster I,0.701812438
TCGA.SB.A6J6.01,Cluster II,10.02270253
TCGA.AP.A0LP.01,Cluster II,7.866095325
TCGA.CV.7099.01,Cluster III,11.06880655
TCGA.44.6778.01,Cluster IV,11.03205104
TCGA.ZB.A96P.01,Cluster I,5.419844916
TCGA.EE.A3AC.06,Cluster II,9.384882614
TCGA.D9.A149.06,Cluster II,9.477944285
TCGA.XE.AANJ.01,Cluster II,9.877994754
TCGA.B5.A1MR.01,Cluster II,10.72180398
TCGA.UB.A7MF.01,Cluster I,11.78083846
TCGA.CN.4739.01,Cluster III,7.393801988
TCGA.VS.A9U5.01,Cluster II,10.02926035
TCGA.VQ.A8PD.01,Cluster IV,9.338263324
TCGA.P3.A5QE.01,Cluster III,10.29865626
TCGA.CJ.5678.01,Cluster IV,11.30914465
